edge_idx,src,dst,edge_type,shapley_value,abs_shapley
0,0,4,lig_internal,-0.000216,0.000216
1,0,27,cross,-0.001003,0.001003
2,0,28,cross,-0.000843,0.000843
3,0,29,cross,-0.000120,0.000120
4,0,30,cross,-0.000478,0.000478
5,0,34,cross,0.000036,0.000036
6,0,40,cross,0.000677,0.000677
7,1,7,lig_internal,-0.000169,0.000169
8,1,40,cross,0.000418,0.000418
9,1,47,cross,-0.000066,0.000066
10,1,48,cross,-0.000826,0.000826
11,2,7,lig_internal,-0.000687,0.000687
12,2,40,cross,-0.000087,0.000087
13,2,41,cross,-0.001793,0.001793
14,2,48,cross,-0.000763,0.000763
15,3,8,lig_internal,-0.000105,0.000105
16,3,29,cross,-0.000289,0.000289
17,3,30,cross,-0.000743,0.000743
18,3,34,cross,-0.000130,0.000130
19,3,40,cross,0.000407,0.000407
20,4,0,lig_internal,0.000122,0.000122
21,4,8,lig_internal,0.000618,0.000618
22,4,12,lig_internal,-0.000032,0.000032
23,4,27,cross,-0.000325,0.000325
24,4,28,cross,-0.000174,0.000174
25,4,29,cross,0.000173,0.000173
26,4,30,cross,0.000020,0.000020
27,4,33,cross,0.000032,0.000032
28,4,34,cross,0.000437,0.000437
29,4,40,cross,0.001382,0.001382
30,5,6,lig_internal,0.000092,0.000092
31,5,7,lig_internal,0.000163,0.000163
32,5,29,cross,-0.000220,0.000220
33,5,40,cross,0.000368,0.000368
34,5,48,cross,-0.000799,0.000799
35,6,5,lig_internal,-0.000282,0.000282
36,6,8,lig_internal,-0.000285,0.000285
37,6,29,cross,-0.000408,0.000408
38,6,34,cross,-0.000158,0.000158
39,6,35,cross,-0.001191,0.001191
40,6,40,cross,0.000298,0.000298
41,7,1,lig_internal,0.000508,0.000508
42,7,2,lig_internal,0.000729,0.000729
43,7,5,lig_internal,0.000259,0.000259
44,7,29,cross,-0.000123,0.000123
45,7,40,cross,0.000706,0.000706
46,7,41,cross,-0.000401,0.000401
47,7,47,cross,0.000709,0.000709
48,7,48,cross,-0.000313,0.000313
49,8,3,lig_internal,0.000063,0.000063
50,8,4,lig_internal,-0.000345,0.000345
