edge_idx,src,dst,edge_type,shapley_value,abs_shapley
0,0,8,lig_internal,0.000189,0.000189
1,0,14,cross,0.000111,0.000111
2,0,15,cross,0.000036,0.000036
3,0,16,cross,-0.000009,0.000009
4,0,17,cross,-0.001486,0.001486
5,0,18,cross,0.000381,0.000381
6,1,8,lig_internal,-0.000269,0.000269
7,1,14,cross,-0.000249,0.000249
8,1,15,cross,-0.000563,0.000563
9,1,16,cross,-0.001066,0.001066
10,2,3,lig_internal,0.000151,0.000151
11,2,12,cross,-0.000692,0.000692
12,2,13,cross,0.000187,0.000187
13,2,14,cross,-0.000000,0.000000
14,2,19,cross,0.000312,0.000312
15,2,21,cross,0.000147,0.000147
16,2,22,cross,-0.000055,0.000055
17,2,23,cross,-0.000076,0.000076
18,2,24,cross,-0.001464,0.001464
19,2,25,cross,0.002505,0.002505
20,2,26,cross,0.000112,0.000112
21,2,27,cross,0.001651,0.001651
22,3,2,lig_internal,0.000007,0.000007
23,3,9,lig_internal,0.000005,0.000005
24,3,12,cross,-0.001854,0.001854
25,3,13,cross,0.000056,0.000056
26,3,14,cross,-0.000381,0.000381
27,3,19,cross,0.000032,0.000032
28,3,20,cross,-0.000442,0.000442
29,3,21,cross,-0.000177,0.000177
30,3,22,cross,-0.000335,0.000335
31,3,26,cross,-0.000397,0.000397
32,3,27,cross,0.002008,0.002008
33,4,6,lig_internal,-0.000155,0.000155
34,4,9,lig_internal,0.000270,0.000270
35,4,13,cross,0.000411,0.000411
36,4,14,cross,-0.000008,0.000008
37,4,15,cross,-0.000287,0.000287
38,4,17,cross,-0.001978,0.001978
39,4,18,cross,-0.000253,0.000253
40,4,19,cross,0.000258,0.000258
41,4,20,cross,0.000060,0.000060
42,4,21,cross,0.000037,0.000037
43,4,22,cross,0.000510,0.000510
44,5,7,lig_internal,0.000041,0.000041
45,5,9,lig_internal,0.000256,0.000256
46,5,13,cross,0.000279,0.000279
47,5,14,cross,-0.000118,0.000118
48,5,15,cross,-0.000366,0.000366
49,5,21,cross,0.000106,0.000106
50,5,22,cross,0.000073,0.000073
51,5,23,cross,0.000208,0.000208
52,5,24,cross,-0.000651,0.000651
53,5,26,cross,0.000114,0.000114
54,6,4,lig_internal,0.000094,0.000094
55,6,10,lig_internal,0.000049,0.000049
56,6,11,cross,-0.007237,0.007237
57,6,14,cross,0.000035,0.000035
58,6,15,cross,-0.000161,0.000161
59,6,16,cross,-0.000503,0.000503
60,6,17,cross,-0.001124,0.001124
61,6,18,cross,-0.000258,0.000258
62,6,19,cross,0.000162,0.000162
63,6,20,cross,0.000194,0.000194
64,6,21,cross,0.000287,0.000287
65,7,5,lig_internal,0.000187,0.000187
66,7,10,lig_internal,-0.000015,0.000015
67,7,14,cross,-0.000096,0.000096
68,7,15,cross,-0.000460,0.000460
69,7,21,cross,0.000134,0.000134
70,7,22,cross,0.000256,0.000256
71,7,23,cross,0.000566,0.000566
72,7,24,cross,-0.000784,0.000784
73,8,0,lig_internal,0.000058,0.000058
74,8,1,lig_internal,0.000192,0.000192
75,8,10,lig_internal,0.000213,0.000213
76,8,14,cross,0.000262,0.000262
77,8,15,cross,0.000258,0.000258
78,8,16,cross,0.000055,0.000055
79,8,18,cross,0.000560,0.000560
80,8,21,cross,0.000293,0.000293
81,9,3,lig_internal,0.000197,0.000197
82,9,4,lig_internal,-0.000010,0.000010
83,9,5,lig_internal,0.000193,0.000193
84,9,13,cross,0.000380,0.000380
85,9,14,cross,0.000170,0.000170
86,9,19,cross,0.000320,0.000320
87,9,21,cross,0.000175,0.000175
88,9,22,cross,0.000305,0.000305
89,9,23,cross,0.000475,0.000475
90,9,26,cross,0.000174,0.000174
91,9,27,cross,0.001839,0.001839
92,10,6,lig_internal,0.000086,0.000086
93,10,7,lig_internal,0.000223,0.000223
94,10,8,lig_internal,0.000210,0.000210
95,10,14,cross,0.000426,0.000426
96,10,15,cross,0.000265,0.000265
97,10,16,cross,-0.000281,0.000281
98,10,18,cross,0.000316,0.000316
99,10,21,cross,0.000410,0.000410
100,10,22,cross,0.000502,0.000502
101,11,6,cross,0.001488,0.001488
102,12,2,cross,0.000759,0.000759
103,12,3,cross,0.000539,0.000539
