edge_idx,src,dst,edge_type,shapley_value,abs_shapley
0,0,7,lig_internal,0.000391,0.000391
1,0,10,cross,-0.000282,0.000282
2,0,11,cross,0.000450,0.000450
3,0,12,cross,0.000219,0.000219
4,0,18,cross,0.000392,0.000392
5,0,19,cross,0.000281,0.000281
6,0,20,cross,0.000880,0.000880
7,0,21,cross,0.000559,0.000559
8,0,22,cross,-0.000301,0.000301
9,0,23,cross,-0.000356,0.000356
10,0,24,cross,0.002823,0.002823
11,0,25,cross,0.000371,0.000371
12,1,7,lig_internal,0.000087,0.000087
13,1,10,cross,-0.000866,0.000866
14,1,11,cross,0.000090,0.000090
15,1,12,cross,-0.000173,0.000173
16,1,16,cross,0.000008,0.000008
17,1,18,cross,0.000059,0.000059
18,1,19,cross,-0.000110,0.000110
19,1,22,cross,-0.000835,0.000835
20,1,25,cross,-0.000246,0.000246
21,1,26,cross,0.001199,0.001199
22,1,27,cross,-0.000132,0.000132
23,2,3,lig_internal,0.000131,0.000131
24,2,4,lig_internal,0.000083,0.000083
25,2,12,cross,-0.000074,0.000074
26,2,13,cross,-0.000210,0.000210
27,2,15,cross,0.000430,0.000430
28,2,16,cross,0.000219,0.000219
29,2,17,cross,0.000162,0.000162
30,2,18,cross,0.000220,0.000220
31,2,19,cross,0.000018,0.000018
32,3,2,lig_internal,0.000209,0.000209
33,3,5,lig_internal,0.000187,0.000187
34,3,12,cross,0.000027,0.000027
35,3,13,cross,-0.000228,0.000228
36,3,18,cross,0.000133,0.000133
37,3,19,cross,0.000172,0.000172
38,3,21,cross,0.000507,0.000507
39,3,22,cross,-0.000461,0.000461
40,4,2,lig_internal,0.000223,0.000223
41,4,6,lig_internal,0.000229,0.000229
42,4,9,cross,-0.008811,0.008811
43,4,11,cross,0.000118,0.000118
44,4,12,cross,-0.000034,0.000034
45,4,13,cross,-0.000061,0.000061
46,4,14,cross,-0.002039,0.002039
47,4,15,cross,0.000556,0.000556
48,4,16,cross,0.000158,0.000158
49,4,17,cross,0.000199,0.000199
50,4,18,cross,0.000135,0.000135
51,4,19,cross,0.000051,0.000051
52,5,3,lig_internal,0.000062,0.000062
53,5,8,lig_internal,-0.000072,0.000072
54,5,11,cross,0.000140,0.000140
55,5,12,cross,0.000050,0.000050
56,5,13,cross,-0.000331,0.000331
57,5,18,cross,0.000231,0.000231
58,5,19,cross,0.000063,0.000063
59,5,21,cross,0.000510,0.000510
60,5,22,cross,-0.000469,0.000469
61,6,4,lig_internal,-0.000000,0.000000
62,6,8,lig_internal,-0.000042,0.000042
63,6,11,cross,0.000052,0.000052
64,6,12,cross,-0.000111,0.000111
65,6,13,cross,-0.000251,0.000251
66,6,14,cross,-0.002209,0.002209
67,6,15,cross,0.000265,0.000265
68,6,16,cross,0.000001,0.000001
69,6,17,cross,-0.000028,0.000028
70,6,18,cross,-0.000011,0.000011
71,6,19,cross,0.000096,0.000096
72,6,25,cross,-0.000314,0.000314
73,6,26,cross,0.001685,0.001685
74,7,0,lig_internal,0.000160,0.000160
75,7,1,lig_internal,0.000191,0.000191
76,7,8,lig_internal,0.000177,0.000177
77,7,10,cross,-0.000786,0.000786
78,7,11,cross,0.000244,0.000244
79,7,12,cross,0.000179,0.000179
80,7,16,cross,0.000280,0.000280
81,7,18,cross,0.000231,0.000231
82,7,19,cross,0.000123,0.000123
83,7,21,cross,0.000300,0.000300
84,7,22,cross,-0.000634,0.000634
85,7,23,cross,-0.001339,0.001339
86,7,25,cross,0.000099,0.000099
87,7,26,cross,0.002434,0.002434
88,8,5,lig_internal,0.000258,0.000258
89,8,6,lig_internal,0.000267,0.000267
90,8,7,lig_internal,0.000245,0.000245
